Field of education for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Mathematics,5,17.857142857142858,10.81081081081081,7.046332046332047
Physics and Astronomy,5,17.857142857142858,10.81081081081081,7.046332046332047
Biological Sciences,5,17.857142857142858,18.91891891891892,-1.0617760617760617
Electrical & Electronic Engineering,3,10.714285714285714,5.405405405405405,5.308880308880308
Computer Science,3,10.714285714285714,29.72972972972973,-19.015444015444018
Geography & Environmental Sciences,2,7.142857142857142,2.7027027027027026,4.44015444015444
Linguistics,1,3.571428571428571,,
General Engineering,1,3.571428571428571,2.7027027027027026,0.8687258687258685
Agriculture & Forestry,1,3.571428571428571,,
Classics & Ancient History,1,3.571428571428571,,
Mechanical Engineering,1,3.571428571428571,5.405405405405405,-1.833976833976834
