Open source use for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,2.0,3.4482758620689653,3.9215686274509802,-0.4732927653820149
3,2.0,3.4482758620689653,3.9215686274509802,-0.4732927653820149
4,,,,
5,,,,
6,1.0,1.7241379310344827,5.88235294117647,-4.158215010141987
7,2.0,3.4482758620689653,3.9215686274509802,-0.4732927653820149
8,7.0,12.068965517241379,3.9215686274509802,8.147396889790398
9,8.0,13.793103448275861,9.803921568627452,3.9891818796484095
10 (All the time),33.0,56.896551724137936,60.78431372549019,-3.8877620013522574
