Use of Digital Object Identifier for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,1.0,4.761904761904762,2.941176470588235,1.8207282913165268
3,1.0,4.761904761904762,11.76470588235294,-7.002801120448178
4,1.0,4.761904761904762,2.941176470588235,1.8207282913165268
5,,,,
6,1.0,4.761904761904762,5.88235294117647,-1.1204481792717083
7,,,,
8,,,,
9,1.0,4.761904761904762,5.88235294117647,-1.1204481792717083
10 (All the time),2.0,9.523809523809524,2.941176470588235,6.582633053221288
