Number of software projects for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,2,1.3071895424836601,0.9852216748768473,0.32196786760681284
1.0,27,17.647058823529413,18.226600985221676,-0.5795421616922631
2.0,42,27.450980392156865,23.15270935960591,4.298271032550954
3.0,32,20.915032679738562,24.63054187192118,-3.715509192182619
4.0,20,13.071895424836603,6.896551724137931,6.175343700698672
5.0,15,9.803921568627452,10.344827586206897,-0.5409060175794451
6.0,3,1.9607843137254901,5.41871921182266,-3.45793489809717
7.0,5,3.2679738562091507,0.9852216748768473,2.2827521813323033
8.0,1,0.6535947712418301,0.9852216748768473,-0.33162690363501723
10.0,2,1.3071895424836601,3.9408866995073892,-2.633697157023729
15.0,4,2.6143790849673203,0.49261083743842365,2.121768247528897
