Citation of software for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,8.0,6.837606837606838,3.7383177570093453,3.099289080597493
3,7.0,5.982905982905983,3.7383177570093453,2.2445882258966376
4,6.0,5.128205128205128,3.7383177570093453,1.3898873711957824
5,6.0,5.128205128205128,12.149532710280374,-7.021327582075246
6,8.0,6.837606837606838,7.943925233644859,-1.106318396038021
7,10.0,8.547008547008547,6.5420560747663545,2.0049524722421923
8,17.0,14.529914529914532,10.2803738317757,4.249540698138832
9,7.0,5.982905982905983,5.14018691588785,0.842719067018133
10 (All the time),45.0,38.46153846153847,34.112149532710276,4.349388928828191
