Programming languages for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
other. What programming languages do you use at work? Please select all that apply. ,2.0,100.0,0.0,100.0
R,2.0,100.0,26.08695652173913,73.91304347826087
Python,1.0,50.0,60.86956521739131,-10.869565217391312
SQL,0.0,0.0,26.08695652173913,-26.08695652173913
Perl,0.0,0.0,8.695652173913043,-8.695652173913043
PHP,0.0,0.0,8.695652173913043,-8.695652173913043
Scala,0.0,0.0,4.3478260869565215,-4.3478260869565215
Assembly,0.0,0.0,4.3478260869565215,-4.3478260869565215
TypeScript,0.0,0.0,4.3478260869565215,-4.3478260869565215
Visual Basic,0.0,0.0,4.3478260869565215,-4.3478260869565215
Matlab,0.0,0.0,4.3478260869565215,-4.3478260869565215
Julia,0.0,0.0,4.3478260869565215,-4.3478260869565215
C,0.0,0.0,13.043478260869565,-13.043478260869565
C#,0.0,0.0,8.695652173913043,-8.695652173913043
C++,0.0,0.0,13.043478260869565,-13.043478260869565
Erlang,0.0,0.0,4.3478260869565215,-4.3478260869565215
Go,0.0,0.0,4.3478260869565215,-4.3478260869565215
Groovy,0.0,0.0,4.3478260869565215,-4.3478260869565215
Java,0.0,0.0,17.391304347826086,-17.391304347826086
JavaScript,0.0,0.0,13.043478260869565,-13.043478260869565
