in which field for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Information and computing sciences,12.0,37.5,0.0,37.5
Biomedical and clinical sciences,7.0,21.875,0.0,21.875
Biological sciences,6.0,18.75,0.0,18.75
Earth sciences,6.0,18.75,0.0,18.75
Physical sciences,6.0,18.75,0.0,18.75
Health sciences,6.0,18.75,0.0,18.75
"Language, communication and culture",5.0,15.625,0.0,15.625
Built environment and design,5.0,15.625,0.0,15.625
Engineering,5.0,15.625,0.0,15.625
Human society,4.0,12.5,0.0,12.5
Chemical sciences,4.0,12.5,0.0,12.5
Environmental sciences,4.0,12.5,0.0,12.5
"History, heritage and archaeology",4.0,12.5,0.0,12.5
"Commerce, management, tourism and services",4.0,12.5,0.0,12.5
Education.1,3.0,9.375,0.0,9.375
Economics.1,3.0,9.375,0.0,9.375
Indigenous studies,2.0,6.25,0.0,6.25
Mathematical sciences,2.0,6.25,0.0,6.25
Psychology.1,2.0,6.25,0.0,6.25
Law and legal studies,1.0,3.125,0.0,3.125
Philosophy and religious studies,1.0,3.125,0.0,3.125
Creative arts and writing,1.0,3.125,0.0,3.125
12 Built Environment and Design,0.0,0.0,2.0202020202020203,-2.0202020202020203
03 Chemical Sciences,0.0,0.0,10.1010101010101,-10.1010101010101
04 Earth Sciences,0.0,0.0,22.22222222222222,-22.22222222222222
05 Environmental Sciences,0.0,0.0,21.21212121212121,-21.21212121212121
06 Biological Sciences,0.0,0.0,34.34343434343434,-34.34343434343434
07 Agricultural and Veterinary Sciences,0.0,0.0,10.1010101010101,-10.1010101010101
08 Information and Computing Sciences,0.0,0.0,45.45454545454545,-45.45454545454545
09 Engineering,0.0,0.0,23.232323232323232,-23.232323232323232
10 Technology,0.0,0.0,26.262626262626267,-26.262626262626267
11 Medical and Health Sciences,0.0,0.0,24.242424242424242,-24.242424242424242
13 Education,0.0,0.0,9.090909090909092,-9.090909090909092
14 Economics,0.0,0.0,2.0202020202020203,-2.0202020202020203
"15 Commerce, Management, Tourism and Services",0.0,0.0,2.0202020202020203,-2.0202020202020203
16 Studies in Human Society,0.0,0.0,4.040404040404041,-4.040404040404041
17 Psychology and Cognitive Sciences,0.0,0.0,3.0303030303030303,-3.0303030303030303
18 Law and Legal Studies,0.0,0.0,1.0101010101010102,-1.0101010101010102
19 Studies in Creative Arts and Writing,0.0,0.0,3.0303030303030303,-3.0303030303030303
"20 Language, Communication and Culture",0.0,0.0,5.05050505050505,-5.05050505050505
21 History and Archaeology,0.0,0.0,3.0303030303030303,-3.0303030303030303
22 Philosophy and Religious Studies,0.0,0.0,3.0303030303030303,-3.0303030303030303
02 Physical Sciences,0.0,0.0,36.36363636363637,-36.36363636363637
01 Mathematical Sciences,0.0,0.0,24.242424242424242,-24.242424242424242
