Open source use for United States,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,3.0,2.097902097902098,1.4492753623188406,0.6486267355832573
3,8.0,5.594405594405594,1.4492753623188406,4.145130232086753
4,1.0,0.6993006993006993,1.4492753623188406,-0.7499746630181413
5,6.0,4.195804195804196,2.898550724637681,1.2972534711665147
6,4.0,2.797202797202797,2.898550724637681,-0.10134792743488408
7,5.0,3.4965034965034967,3.6231884057971016,-0.12668490929360487
8,15.0,10.48951048951049,12.318840579710146,-1.8293300901996563
9,16.0,11.188811188811188,18.115942028985508,-6.9271308401743195
10 (All the time),76.0,53.14685314685315,53.62318840579711,-0.476335258943962
