in which field for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Computer Science,75.0,46.875,40.136054421768705,6.738945578231295
Biological Sciences,43.0,26.875,26.53061224489796,0.34438775510204067
Physics and Astronomy,42.0,26.25,42.857142857142854,-16.607142857142854
Geography & Environmental Sciences,23.0,14.374999999999998,15.646258503401361,-1.2712585034013628
Mathematics,21.0,13.125,10.204081632653061,2.920918367346939
Materials Technology,16.0,10.0,3.4013605442176873,6.598639455782313
Medicine,13.0,8.125,6.122448979591836,2.0025510204081636
Chemistry,13.0,8.125,2.7210884353741496,5.403911564625851
Sociology,12.0,7.5,3.4013605442176873,4.098639455782313
Psychology,12.0,7.5,2.0408163265306123,5.459183673469388
Economics,11.0,6.875000000000001,5.442176870748299,1.4328231292517017
Librarianship & Information Management,10.0,6.25,2.0408163265306123,4.209183673469388
Agriculture & Forestry,9.0,5.625,1.3605442176870748,4.264455782312925
Mechanical Engineering,9.0,5.625,2.7210884353741496,2.9039115646258504
Civil Engineering,9.0,5.625,1.3605442176870748,4.264455782312925
Geology,9.0,5.625,4.081632653061225,1.5433673469387754
Politics,8.0,5.0,2.0408163265306123,2.9591836734693877
History,8.0,5.0,2.0408163265306123,2.9591836734693877
General Engineering,8.0,5.0,1.3605442176870748,3.6394557823129254
Linguistics,8.0,5.0,2.0408163265306123,2.9591836734693877
Chemical Engineering,8.0,5.0,4.081632653061225,0.9183673469387754
Education,7.0,4.375,3.4013605442176873,0.9736394557823127
Electrical & Electronic Engineering,7.0,4.375,5.442176870748299,-1.0671768707482991
Anthropology,6.0,3.75,2.7210884353741496,1.0289115646258504
English,5.0,3.125,0.6802721088435374,2.4447278911564627
Law,5.0,3.125,0.6802721088435374,2.4447278911564627
Aeronautical & Manufacturing Engineering,4.0,2.5,0.0,2.5
Robotics,4.0,2.5,1.3605442176870748,1.1394557823129252
Social Policy,4.0,2.5,3.4013605442176873,-0.9013605442176873
Business & Management Studies,4.0,2.5,2.0408163265306123,0.4591836734693877
Accounting & Finance,4.0,2.5,1.3605442176870748,1.1394557823129252
Criminology,4.0,2.5,0.6802721088435374,1.8197278911564627
French,3.0,1.875,0.0,1.875
East & South Asian Studies,3.0,1.875,0.0,1.875
Communication & Media Studies,2.0,1.25,2.0408163265306123,-0.7908163265306123
"History of Art, Architecture & Design",2.0,1.25,0.0,1.25
Town & Country Planning and Landscape Design,2.0,1.25,0.6802721088435374,0.5697278911564626
American Studies,2.0,1.25,1.3605442176870748,-0.11054421768707479
Anatomy & Physiology,2.0,1.25,2.0408163265306123,-0.7908163265306123
Philosophy,2.0,1.25,0.6802721088435374,0.5697278911564626
Art & Design,2.0,1.25,1.3605442176870748,-0.11054421768707479
Classics & Ancient History,2.0,1.25,0.6802721088435374,0.5697278911564626
Social Work,1.0,0.625,0.0,0.625
Middle Eastern and African Studies,1.0,0.625,1.3605442176870748,-0.7355442176870748
Russian & East European Languages,1.0,0.625,0.0,0.625
Music,1.0,0.625,0.0,0.625
Dentistry,1.0,0.625,0.0,0.625
Architecture,1.0,0.625,1.3605442176870748,-0.7355442176870748
Food Science,1.0,0.625,0.0,0.625
Marketing,1.0,0.625,0.6802721088435374,-0.05527210884353739
Counselling,1.0,0.625,0.0,0.625
Complementary Medicine,1.0,0.625,0.6802721088435374,-0.05527210884353739
German,1.0,0.625,0.0,0.625
Veterinary Medicine,0.0,0.0,1.3605442176870748,-1.3605442176870748
Theology & Religious Studies,0.0,0.0,1.3605442176870748,-1.3605442176870748
Pharmacology & Pharmacy,0.0,0.0,2.7210884353741496,-2.7210884353741496
Land & Property Management,0.0,0.0,0.6802721088435374,-0.6802721088435374
